luminosity_distance timeshift inclination_EM log10_n0 p log10_epsilon_e log10_epsilon_B log10_E0 thetaCore thetaWing ksiN L0 dL b q ts Ebv log_likelihood log_prior
156.98565981979283 0.292496198455106 0.08805408906154882 -2.208573195118983 2.9517795745215896 -0.01009996159671811 -2.612519106408165 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -19.84790882659462 -10.763886061229387
182.40586847110978 0.7320479922221088 0.07284938695535036 -1.5686492849027267 2.0451251472951135 -0.6276672878963323 -1.1840993245354372 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -19.815830311430172 -10.953035292010345
167.55791814023132 0.8646917058278547 0.17033371840627298 1.4194987376274186 2.4147629744737293 -0.20152598677184663 -2.744770945611048 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -19.81098982662634 -10.107625466333863
182.5432798174266 0.2908602579654542 0.1562556464536085 -0.5966134248547013 2.9368796234282915 -0.6108208500261778 -1.61626791699178 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -19.800043624180713 -10.19312394363285
176.74997034800242 -0.07348593612831728 0.1309773888542647 -1.4652767398719133 2.525998907293554 -0.44364277015923026 -1.89332839683154 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -19.7808444551656 -10.368380859425688
163.59974482107063 0.7287226761524309 0.09472756389720849 -1.9512758345711925 2.287390222288955 -0.9836325987057473 -1.1296483026921296 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -19.77446073599741 -10.691035723602738
179.97251093387604 0.6180747151374818 0.07680898804177137 -1.4581668376922607 2.208347797393799 -0.5456051230430603 -2.225591003894806 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -19.75995486377036 -10.900206545844071
163.04933369395536 0.8340038870835649 0.15978754631604367 1.5982778314385024 2.2773430356599405 -0.035183252052568115 -1.3097085075927206 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -19.740440025414895 -10.170958620843564
170.52730891122894 0.7039735953628466 0.08592593485438428 -2.0418886338546645 2.1230476466988977 -0.10254079652222137 -2.1816921658863633 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -19.732558906618024 -10.78828989220533
176.18979724621104 0.5314433329766438 0.06296683226169238 -1.9986715280924703 2.356165469623667 -0.34653142378979007 -2.19502384563442 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -19.71740354531891 -11.098597522695385
175.3643926744968 0.517719706193285 0.13011188871166468 -0.972727165301214 2.7036825181973185 -1.0363373005567011 -0.26209929416057687 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -19.71366109131311 -10.374973095891317
176.092433592997 0.6327148614069182 0.14887829792906201 -0.06077891499827093 2.612268555281478 -0.3176771783341912 -2.419377677892535 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -19.70820094852146 -10.241112425391389
173.70543032884598 0.04263564944267273 0.14899622763196874 0.1371527910232544 2.514793872833252 -0.6797305941581726 -1.160156786441803 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -19.692544368651753 -10.240326480824505
161.60282486144334 0.8249458035870538 0.09425712537892407 -2.220538129780111 2.3401801162801785 -0.593600017804973 -1.8370288355379716 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -19.68825893478423 -10.695999496135293
