candidate,model,tmax,log_likelihood,log_evidence,log_evidence_err,log_bayes_factor,luminosity_distance,KNphi,inclination_EM,KNtimeshift,log10_mej_dyn,log10_mej_wind,Ebv,log_prior,log10_n0,p,log10_epsilon_e,log10_epsilon_B,log10_E0,thetaCore,thetaWing,ksiN,L0,dL,b,q,ts,supernova_mag_boost
TrPi2018_0,nugent-hyper,5.0,-3.442759226023795,-5.968845502919756,0.04252166326643054,-5.968845502919756,344.8796800883821,,,-1.9726644607832446,,,0.3155710647488686,-8.367661178009195,,,,,,,,,,,,,,-4.901806789736116
TrPi2018_0,nugent-hyper,7.0,-5.056494704107516,-7.718741531730829,0.04285108198774111,-7.718741531730829,328.3725783039131,,,-1.986606021821859,,,0.3284818397208391,-8.419238659349922,,,,,,,,,,,,,,-4.57244046010369
TrPi2018_0,nugent-hyper,9.0,-4.998028143998175,-7.699483783516936,0.04292392434823488,-7.699483783516936,137.28870981539424,,,-1.9991110383789077,,,0.42602210740728075,-8.929879836444893,,,,,,,,,,,,,,-2.8346576778264962
TrPi2018_0,nugent-hyper,11.0,-7.155932804252727,-10.109920262879527,0.04445983528021601,-10.109920262879527,164.62911089755605,,,-1.9848908891677823,,,0.06282704729853843,-7.68249839238627,,,,,,,,,,,,,,-1.6137534091652581
TrPi2018_0,nugent-hyper,13.0,-9.72765099048331,-13.028810983287618,0.04597220618850812,-13.028810983287618,143.46763074619446,,,-1.9898444621255362,,,0.008003527493083001,-7.580314449717701,,,,,,,,,,,,,,-0.6879458721950105
TrPi2018_0,nugent-hyper,15.0,-12.4094596280922,-15.984031259418716,0.04730109728192608,-15.984031259418716,170.34535794452742,,,-1.984064738598117,,,0.41977340404213537,-8.888077030586501,,,,,,,,,,,,,,-2.3353498647699142
nugent-hyper_0,Bu2019lm,3.0,-3.69425569714169,-8.96799107560754,0.05698572669949787,-8.96799107560754,8.317712690592993,48.63444993466974,0.7322907363066952,-1.8899652544250778,-2.845152262795094,-1.8368073419629454,0.43617751987579373,-9.740861097842012,,,,,,,,,,,,,,
nugent-hyper_0,Bu2019lm,5.0,-6.142557586253773,-12.752138495093249,0.05623818868575692,-12.752138495093249,8.902267990999087,49.01128843035804,0.7659155447552838,0.8895051058481833,-2.6111854277178486,-1.6923333097719613,0.5141247089122657,-10.553806285686179,,,,,,,,,,,,,,
nugent-hyper_0,Bu2019lm,7.0,-9.609824580972823,-17.687556127052996,0.06509276418396774,-17.687556127052996,9.434987493881305,48.49178409897409,0.7012294816529387,0.9872893635026427,-2.7987326096630554,-1.5963476588825718,0.15131662687170602,-8.647973519977132,,,,,,,,,,,,,,
nugent-hyper_0,Bu2019lm,9.0,-8.75177320445653,-17.352748299584064,0.06673916073016321,-17.352748299584064,9.649004354553686,49.79877793810721,0.7788931215522353,0.9161768351878248,-2.581881637157665,-1.4255782534205712,0.21753791477751985,-8.733935567054472,,,,,,,,,,,,,,
